workId, aired, genres
"5114","Apr 5, 2009 to Jul 4, 2010","Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen"
"32281","Aug 26, 2016","Romance, Supernatural, School, Drama"
"9253","Apr 6, 2011 to Sep 14, 2011","Thriller, Sci-Fi"
"28977","Apr 8, 2015 to Mar 30, 2016","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen"
"11061","Oct 2, 2011 to Sep 24, 2014","Action, Adventure, Fantasy, Shounen, Super Power"
"820","Jan 8, 1988 to Mar 17, 1997","Military, Sci-Fi, Space, Drama"
"9969","Apr 4, 2011 to Mar 26, 2012","Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen"
"35180","Oct 14, 2017 to Mar 31, 2018","Drama, Game, Seinen, Slice of Life"
"15417","Oct 4, 2012 to Mar 28, 2013","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen"
"28851","Sep 17, 2016","Drama, School, Shounen"
"15335","Jul 6, 2013","Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen"
"4181","Oct 3, 2008 to Mar 27, 2009","Slice of Life, Comedy, Supernatural, Drama, Romance"
"918","Apr 4, 2006 to Mar 25, 2010","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen"
"34096","Jan 9, 2017 to Mar 27, 2017","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen"
"35247","Aug 12, 2017 to Aug 13, 2017","Comedy, Mystery, Supernatural, Vampire"
"32935","Oct 8, 2016 to Dec 10, 2016","Comedy, Sports, Drama, School, Shounen"
"2904","Apr 6, 2008 to Sep 28, 2008","Action, Military, Sci-Fi, Super Power, Drama, Mecha"
"199","Jul 20, 2001","Adventure, Supernatural, Drama"
"34599","Jul 7, 2017 to Sep 29, 2017","Sci-Fi, Adventure, Mystery, Drama, Fantasy"
"23273","Oct 10, 2014 to Mar 20, 2015","Drama, Music, Romance, School, Shounen"
"28891","Oct 4, 2015 to Mar 27, 2016","Comedy, Sports, Drama, School, Shounen"
"31758","Jan 6, 2017","Action, Mystery, Supernatural, Vampire"
"33095","Jan 7, 2017 to Mar 25, 2017","Drama, Historical, Josei"
"37491","Jul 9, 2018 to Oct 8, 2018","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen"
"37991","Oct 6, 2018 to ?","Action, Adventure, Shounen"
"36838","Jan 8, 2018 to Mar 26, 2018","Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen"
"1","Apr 3, 1998 to Apr 24, 1999","Action, Adventure, Comedy, Drama, Sci-Fi, Space"
"24701","Oct 19, 2014 to Dec 21, 2014","Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural"
"263","Oct 4, 2000 to Mar 27, 2002","Comedy, Sports, Drama, Shounen"
"164","Jul 12, 1997","Action, Adventure, Fantasy"
"1575","Oct 6, 2006 to Jul 29, 2007","Action, Drama, Mecha, Military, School, Sci-Fi, Super Power"
"44","Feb 20, 1999 to Sep 22, 1999","Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen"
"17074","Jul 7, 2013 to Dec 29, 2013","Mystery, Comedy, Supernatural, Romance, Vampire"
"21939","Apr 5, 2014 to Jun 21, 2014","Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen"
"12355","Jul 21, 2012","Fantasy, Slice of Life"
"245","Jun 30, 1999 to Sep 17, 2000","Comedy, Drama, School, Shounen, Slice of Life"
"457","Oct 23, 2005 to Jun 19, 2006","Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen"
"2001","Apr 1, 2007 to Sep 30, 2007","Action, Adventure, Comedy, Mecha, Sci-Fi"
"33486","Apr 1, 2017 to Sep 30, 2017","Action, Comedy, Super Power, School, Shounen"
"5258","Jan 7, 2009 to Jul 1, 2009","Comedy, Sports, Drama, Shounen"
"431","Nov 20, 2004","Adventure, Drama, Fantasy, Romance"
"34591","Apr 12, 2017 to Jun 21, 2017","Drama, Fantasy, Shoujo, Slice of Life, Supernatural"
"11665","Jan 3, 2012 to Mar 27, 2012","Slice of Life, Supernatural, Drama, Fantasy, Shoujo"
"30276","Oct 5, 2015 to Dec 21, 2015","Action, Sci-Fi, Comedy, Parody, Super Power, Supernatural, Seinen"
"7311","Feb 6, 2010","Comedy, Mystery, Romance, School, Sci-Fi, Supernatural"
"36456","Apr 7, 2018 to Sep 29, 2018","Action, Comedy, School, Shounen, Super Power"
"19","Apr 7, 2004 to Sep 28, 2005","Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller"
"28957","May 16, 2015","Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural"
"31757","Aug 19, 2016","Action, Mystery, Supernatural, Vampire"
"37208","Jul 9, 2018 to Oct 6, 2018","Action, Adventure, Mystery, Comedy, Historical, Supernatural"
"1535","Oct 4, 2006 to Jun 27, 2007","Mystery, Police, Psychological, Supernatural, Thriller, Shounen"
"34612","Jan 17, 2018 to Jun 27, 2018","Comedy, School, Shounen, Slice of Life, Supernatural"
