"workId","engName","synonymsName","jpName","episodes","genres"
"5114","Fullmetal Alchemist: Brotherhood","Hagane no Renkinjutsushi: Fullmetal Alchemist, Fullmetal Alchemist (2009), FMA, FMAB","鋼の錬金術師 FULLMETAL ALCHEMIST","64","Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen"
"32281","Your Name.",\N,"君の名は。","1","Romance, Supernatural, School, Drama"
"9253","Steins;Gate",\N,"STEINS;GATE","24","Thriller, Sci-Fi"
"28977","Gintama Season 4","Gintama' (2015)","銀魂°","51","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen"
"11061","Hunter x Hunter","HxH (2011)","HUNTER×HUNTER（ハンター×ハンター）","148","Action, Adventure, Fantasy, Shounen, Super Power"
"820","Legend of the Galactic Heroes","LoGH, LotGH, Gin'eiden, GinEiDen, Heldensagen Vom Kosmosinsel","銀河英雄伝説","110","Military, Sci-Fi, Space, Drama"
"9969","Gintama Season 2","Gintama (2011)","銀魂'","51","Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen"
"35180","March Comes In Like A Lion 2nd Season","Sangatsu no Lion Second Season","3月のライオン 第2シリーズ","22","Drama, Game, Seinen, Slice of Life"
"15417","Gintama: Enchousen","Gintama' (2012), Gintama' Overdrive, Kintama","銀魂' 延長戦","13","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen"
"28851","A Silent Voice","The Shape of Voice","聲の形","1","Drama, School, Shounen"
"15335",\N,"Gintama: The Final Chapter - Be Forever Yorozuya, Gintama Movie 2","劇場版 銀魂 完結篇 万事屋よ永遠なれ","1","Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen"
"4181","Clannad ~After Story~",\N,"CLANNAD〜AFTER STORY〜 クラナド アフターストーリー","24","Slice of Life, Comedy, Supernatural, Drama, Romance"
"918","Gintama","Gin Tama, Silver Soul, Yorinuki Gintama-san","銀魂","201","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen"
"34096","Gintama Season 5","Gintama (2017)","銀魂。","12","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen"
"35247","Owarimonogatari Second Season","End Story 2nd Season","終物語","7","Comedy, Mystery, Supernatural, Vampire"
"32935","Haikyu!! 3rd Season","Haikyuu!! Third Season","ハイキュー!! 烏野高校 VS 白鳥沢学園高校","10","Comedy, Sports, Drama, School, Shounen"
"2904","Code Geass: Lelouch of the Rebellion R2","Code Geass: Hangyaku no Lelouch 2nd Season, Code Geass: Hangyaku no Lelouch Second Season","コードギアス 反逆のルルーシュ 続編","25","Action, Military, Sci-Fi, Super Power, Drama, Mecha"
"199","Spirited Away","Sen and Chihiro's Spiriting Away","千と千尋の神隠し","1","Adventure, Supernatural, Drama"
"34599","Made in Abyss",\N,"メイドインアビス","13","Sci-Fi, Adventure, Mystery, Drama, Fantasy"
"23273","Your Lie in April",\N,"四月は君の嘘","22","Drama, Music, Romance, School, Shounen"
"28891","Haikyu!! 2nd Season","Haikyuu!! Second Season","ハイキュー!! セカンドシーズン","25","Comedy, Sports, Drama, School, Shounen"
"31758",\N,"Koyomi Vamp, Kizumonogatari Part 3","傷物語〈Ⅲ冷血篇〉","1","Action, Mystery, Supernatural, Vampire"
"33095","Descending Stories: Showa Genroku Rakugo Shinju","Shouwa Genroku Rakugo Shinjuu 2nd Season, Showa and Genroku Era Lover's Suicide Through Rakugo 2nd Season","昭和元禄落語心中～助六再び篇～","12","Drama, Historical, Josei"
"37491","Gintama.: Silver Soul Arc - Second Half War","Gintama.: Silver Soul Arc 2","銀魂. 銀ノ魂篇 後半戦","14","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen"
"37991","JoJo`s Bizarre Adventure: Golden Wind","JoJo's Bizarre Adventure Part 5: Golden Wind, JoJo no Kimyou na Bouken Part 5: Ougon no Kaze, Le Bizzarre Avventure Di GioGio Parte 5: Vento Aureo","ジョジョの奇妙な冒険 黄金の風","39","Action, Adventure, Shounen"
"36838",\N,"Gintama.: Silver Soul Arc","銀魂. 銀ノ魂篇","12","Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen"
"1","Cowboy Bebop",\N,"カウボーイビバップ","26","Action, Adventure, Comedy, Drama, Sci-Fi, Space"
"24701",\N,"Mushishi Zoku Shou 2nd Season","蟲師 続章","10","Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural"
"263","Fighting Spirit","The First Step, Hajime no Ippo: The Fighting","はじめの一歩 THE FIGHTING!","75","Comedy, Sports, Drama, Shounen"
